Date,Baseline,AU & AD & S
2020-01-02,0.0,0.0
2020-01-03,-1700.0,-1700.0
2020-01-06,-2550.0,-1700.0
2020-01-07,-2500.0,-1650.0
2020-01-08,-2800.0,-1650.0
2020-01-09,-3370.0,-2220.0
2020-01-10,-3580.0,-2220.0
2020-01-13,-4320.0,-2960.0
2020-01-14,-3000.0,-2960.0
2020-01-15,-3880.0,-3840.0
2020-01-16,-3080.0,-3840.0
2020-01-17,-3870.0,-4630.0
2020-01-21,-4640.0,-4630.0
2020-01-22,-4190.0,-4180.0
2020-01-23,-6000.0,-4180.0
2020-01-24,-8120.0,-6300.0
2020-01-27,-12300.0,-6300.0
2020-01-28,-9830.0,-3830.0
2020-01-29,-12140.0,-3830.0
2020-01-30,-10390.0,-2080.0
2020-01-31,-9890.0,-2080.0
2020-02-03,-6880.0,930.0
2020-02-04,-3470.0,930.0
2020-02-05,-6830.0,-2430.0
2020-02-06,-5500.0,-2430.0
2020-02-07,-7180.0,-4110.0
2020-02-10,-5610.0,-4110.0
2020-02-11,-7190.0,-5690.0
2020-02-12,-6350.0,-5690.0
2020-02-13,-7300.0,-6640.0
2020-02-14,-8660.0,-6640.0
2020-02-18,-9060.0,-7040.0
2020-02-19,-6900.0,-7040.0
2020-02-20,-7830.0,-7970.0
2020-02-21,-9230.0,-7970.0
2020-02-24,-15190.0,-13930.0
2020-02-25,-20010.0,-13930.0
2020-02-26,-24840.0,-18760.0
2020-02-27,-30160.0,-18760.0
2020-02-28,-30550.0,-19150.0
2020-03-02,-28220.0,-19150.0
2020-03-03,-31750.0,-22680.0
2020-03-04,-29020.0,-22680.0
2020-03-05,-34220.0,-27880.0
2020-03-06,-32930.0,-27880.0
2020-03-09,-43850.0,-38800.0
2020-03-10,-36740.0,-38800.0
2020-03-11,-42690.0,-44750.0
2020-03-12,-56390.0,-44750.0
2020-03-13,-45680.0,-34040.0
2020-03-16,-53190.0,-34040.0
2020-03-17,-54670.0,-35520.0
2020-03-18,-59400.0,-35520.0
2020-03-19,-53270.0,-29390.0
2020-03-20,-62220.0,-29390.0
2020-03-23,-62440.0,-29610.0
2020-03-24,-50080.0,-29610.0
2020-03-25,-47470.0,-27000.0
2020-03-26,-42840.0,-27000.0
2020-03-27,-51800.0,-35960.0
2020-03-30,-48400.0,-35960.0
2020-03-31,-51600.0,-39160.0
2020-04-01,-53280.0,-39160.0
2020-04-02,-51230.0,-37110.0
2020-04-03,-54320.0,-37110.0
2020-04-06,-48620.0,-31410.0
2020-04-07,-46960.0,-31410.0
2020-04-08,-47130.0,-31580.0
2020-04-09,-43700.0,-31580.0
