Date,Baseline,OBV & RSI & AU & AD & S
2018-12-07,1900.0,
2018-12-10,1780.0,
2018-12-11,1890.0,
2018-12-12,2130.0,
2018-12-13,3290.0,
2018-12-14,2120.0,
2018-12-17,550.0,
2018-12-18,-600.0,
2018-12-19,-830.0,
2018-12-20,-3020.0,
2018-12-21,-5770.0,
2018-12-24,-9590.0,
2018-12-26,-4180.0,
2018-12-27,-3500.0,
2018-12-28,-2730.0,
2018-12-31,-400.0,
2019-01-02,-1080.0,
2019-01-03,-3680.0,
2019-01-04,-440.0,
2019-01-07,500.0,
2019-01-08,1340.0,
2019-01-09,2580.0,
2019-01-10,2710.0,
2019-01-11,2560.0,
2019-01-14,2330.0,
2019-01-15,1680.0,
2019-01-16,840.0,
2019-01-17,940.0,
2019-01-18,970.0,
2019-01-22,530.0,
2019-01-23,1050.0,
2019-01-24,490.0,
2019-01-25,1020.0,
2019-01-28,740.0,
2019-01-29,830.0,
2019-01-30,70.0,
2019-01-31,1440.0,
2019-02-01,1230.0,
2019-02-04,1720.0,
2019-02-05,2570.0,
2019-02-06,1330.0,
2019-02-07,880.0,
2019-02-08,1430.0,
2019-02-11,-610.0,
2019-02-12,-850.0,
2019-02-13,140.0,
2019-02-14,590.0,
2019-02-15,2500.0,
2019-02-19,3410.0,
2019-02-20,3580.0,
2019-02-21,4180.0,
2019-02-22,5130.0,
2019-02-25,3490.0,
2019-02-26,3400.0,
2019-02-27,2690.0,
2019-02-28,2750.0,
2019-03-01,3900.0,
2019-03-04,4220.0,
2019-03-05,3890.0,
2019-03-06,4730.0,
2019-03-07,3900.0,
2019-03-08,3710.0,
2019-03-11,4630.0,
2019-03-12,4610.0,
2019-03-13,3980.0,
2019-03-14,4370.0,
2019-03-15,4840.0,
2019-03-18,3020.0,
2019-03-19,-60.0,
2019-03-20,-70.0,
2019-03-21,-1380.0,
2019-03-22,-1810.0,
2019-03-25,-2240.0,
2019-03-26,80.0,
2019-03-27,220.0,
2019-03-28,640.0,
2019-03-29,960.0,
2019-04-01,2420.0,
2019-04-02,1880.0,
2019-04-03,2430.0,
2019-04-04,4630.0,
2019-04-05,4880.0,
2019-04-08,4840.0,
2019-04-09,6720.0,
2019-04-10,7020.0,
2019-04-11,6460.0,
2019-04-12,19760.0,
2019-04-15,21720.0,
2019-04-16,19600.0,
2019-04-17,21430.0,
2019-04-18,22120.0,
2019-04-22,21360.0,
2019-04-23,23020.0,
2019-04-24,24740.0,
2019-04-25,26850.0,
2019-04-26,29500.0,
2019-04-29,28890.0,
2019-04-30,26590.0,
2019-05-01,26000.0,
2019-05-02,23790.0,
2019-05-03,23980.0,
2019-05-06,24640.0,
2019-05-07,23100.0,
2019-05-08,24630.0,
2019-05-09,23250.0,
2019-05-10,23690.0,
2019-05-13,21020.0,
2019-05-14,22860.0,
2019-05-15,24320.0,
2019-05-16,25130.0,
2019-05-17,24680.0,
2019-05-20,23560.0,
2019-05-21,23740.0,
2019-05-22,23500.0,
2019-05-23,22400.0,
2019-05-24,22460.0,
2019-05-28,22290.0,
2019-05-29,21250.0,
2019-05-30,21870.0,
2019-05-31,21720.0,
2019-06-03,22140.0,
2019-06-04,24460.0,
2019-06-05,25570.0,
2019-06-06,26820.0,
2019-06-07,27640.0,
2019-06-10,26690.0,
2019-06-11,24720.0,
2019-06-12,25350.0,
2019-06-13,31300.0,
2019-06-14,31210.0,
2019-06-17,30540.0,
2019-06-18,28830.0,
2019-06-19,30490.0,
2019-06-20,31580.0,
2019-06-21,29810.0,
2019-06-24,28810.0,
2019-06-25,29520.0,
2019-06-26,29970.0,
2019-06-27,28890.0,
2019-06-28,29220.0,
2019-07-01,31210.0,
2019-07-02,32080.0,
2019-07-03,32520.0,
2019-07-05,32870.0,
2019-07-08,31450.0,
2019-07-09,32040.0,
2019-07-10,33960.0,
2019-07-11,33980.0,
2019-07-12,35290.0,
2019-07-15,35470.0,
2019-07-16,34710.0,
2019-07-17,32990.0,
2019-07-18,32060.0,
2019-07-19,30290.0,
2019-07-22,31270.0,
2019-07-23,31690.0,
2019-07-24,31720.0,
2019-07-25,33630.0,
2019-07-26,35060.0,
2019-07-29,36790.0,
2019-07-30,35340.0,
2019-07-31,33430.0,
2019-08-01,32280.0,
2019-08-02,32140.0,
2019-08-05,28750.0,
2019-08-06,32300.0,
2019-08-07,25330.0,
2019-08-08,28340.0,
2019-08-09,28970.0,
2019-08-12,26210.0,
2019-08-13,27460.0,
2019-08-14,23330.0,
2019-08-15,23890.0,
2019-08-16,25660.0,
2019-08-19,25750.0,
2019-08-20,25600.0,
2019-08-21,26220.0,
2019-08-22,26540.0,
2019-08-23,22160.0,
2019-08-26,25080.0,
2019-08-27,24960.0,
2019-08-28,27010.0,
2019-08-29,28290.0,
2019-08-30,27710.0,
2019-09-03,26770.0,
2019-09-04,28340.0,
2019-09-05,29280.0,
2019-09-06,29990.0,
2019-09-09,29270.0,
2019-09-10,26250.0,
2019-09-11,26650.0,
2019-09-12,27950.0,
2019-09-13,28470.0,
2019-09-16,26260.0,
2019-09-17,26770.0,
2019-09-18,27260.0,
2019-09-19,23780.0,
2019-09-20,22750.0,
2019-09-23,22940.0,
2019-09-24,22450.0,
2019-09-25,23570.0,
2019-09-26,21760.0,
2019-09-27,20460.0,
2019-09-30,20810.0,
2019-10-01,20050.0,
2019-10-02,19640.0,
2019-10-03,18660.0,
2019-10-04,20760.0,
2019-10-07,21390.0,
2019-10-08,18970.0,
2019-10-09,19830.0,
2019-10-10,19840.0,
2019-10-11,20520.0,
2019-10-14,20200.0,
2019-10-15,20260.0,
2019-10-16,21350.0,
2019-10-17,22850.0,
2019-10-18,21380.0,
2019-10-21,20750.0,
2019-10-22,22880.0,
2019-10-23,21620.0,
2019-10-24,20750.0,
2019-10-25,21390.0,
2019-10-28,21020.0,
2019-10-29,19980.0,
2019-10-30,20100.0,
2019-10-31,20420.0,
2019-11-01,23230.0,
2019-11-04,23400.0,
2019-11-05,21940.0,
2019-11-06,21760.0,
2019-11-07,23440.0,
2019-11-08,28410.0,
2019-11-11,27200.0,
2019-11-12,29020.0,
2019-11-13,39100.0,
2019-11-14,37540.0,
2019-11-15,35080.0,
2019-11-18,38040.0,
2019-11-19,38770.0,
2019-11-20,37320.0,
2019-11-21,37300.0,
2019-11-22,38680.0,
2019-11-25,40070.0,
2019-11-26,42010.0,
2019-11-27,41850.0,
2019-11-29,41950.0,
2019-12-02,40990.0,
2019-12-03,38970.0,
2019-12-04,38670.0,
2019-12-05,37830.0,
2019-12-06,38050.0,
2019-12-09,36610.0,
2019-12-10,36500.0,
2019-12-11,37980.0,
2019-12-12,38150.0,
2019-12-13,37650.0,
2019-12-16,39730.0,
2019-12-17,39000.0,
2019-12-18,37530.0,
2019-12-19,37420.0,
2019-12-20,38150.0,
2019-12-23,35950.0,
2019-12-24,36560.0,
2019-12-26,36970.0,
2019-12-27,37020.0,
2019-12-30,35040.0,
2019-12-31,35900.0,
2020-01-02,,0.0
2020-01-03,,-1700.0
2020-01-06,,-2550.0
2020-01-07,,-2500.0
2020-01-08,,-2800.0
2020-01-09,,-3370.0
2020-01-10,,-3580.0
2020-01-13,,-4320.0
2020-01-14,,-3000.0
2020-01-15,,-3880.0
2020-01-16,,-3080.0
2020-01-17,,-3870.0
2020-01-21,,-4640.0
2020-01-22,,-4190.0
2020-01-23,,-6000.0
2020-01-24,,-8120.0
2020-01-27,,-12300.0
2020-01-28,,-9830.0
2020-01-29,,-12140.0
2020-01-30,,-10390.0
2020-01-31,,-9890.0
2020-02-03,,-6880.0
2020-02-04,,-3470.0
2020-02-05,,-6830.0
2020-02-06,,-5500.0
2020-02-07,,-7180.0
2020-02-10,,-5610.0
2020-02-11,,-7190.0
2020-02-12,,-6350.0
2020-02-13,,-7300.0
2020-02-14,,-8660.0
2020-02-18,,-9060.0
2020-02-19,,-6900.0
2020-02-20,,-7830.0
2020-02-21,,-9230.0
2020-02-24,,-15190.0
2020-02-25,,-20010.0
2020-02-26,,-24840.0
2020-02-27,,-30160.0
2020-02-28,,-30550.0
2020-03-02,,-28220.0
2020-03-03,,-31750.0
2020-03-04,,-29020.0
2020-03-05,,-34220.0
2020-03-06,,-32930.0
2020-03-09,,-43850.0
2020-03-10,,-36740.0
2020-03-11,,-42690.0
2020-03-12,,-56390.0
2020-03-13,,-45680.0
2020-03-16,,-53190.0
2020-03-17,,-54670.0
2020-03-18,,-59400.0
2020-03-19,,-53270.0
2020-03-20,,-62220.0
2020-03-23,,-62440.0
2020-03-24,,-50080.0
2020-03-25,,-47470.0
2020-03-26,,-42840.0
2020-03-27,,-51800.0
2020-03-30,,-48400.0
2020-03-31,,-51600.0
2020-04-01,,-53280.0
2020-04-02,,-51230.0
2020-04-03,,-54320.0
2020-04-06,,-48620.0
2020-04-07,,-46960.0
2020-04-08,,-47130.0
2020-04-09,,-43700.0
2020-04-13,,-44700.0
2020-04-14,,-42170.0
2020-04-15,,-44830.0
2020-04-16,,-46180.0
2020-04-17,,-41570.0
2020-04-20,,-45940.0
2020-04-21,,-47660.0
2020-04-22,,-47210.0
2020-04-23,,-47200.0
2020-04-24,,-47010.0
2020-04-27,,-42140.0
2020-04-28,,-41990.0
2020-04-29,,-35950.0
2020-04-30,,-40050.0
2020-05-01,,-42700.0
2020-05-04,,-45020.0
2020-05-05,,-47140.0
2020-05-06,,-47320.0
2020-05-07,,-42630.0
2020-05-08,,-39040.0
2020-05-11,,-40430.0
2020-05-12,,-43640.0
2020-05-13,,-45280.0
2020-05-14,,-42290.0
2020-05-15,,-39150.0
2020-05-18,,-31350.0
2020-05-19,,-33830.0
2020-05-20,,-28280.0
2020-05-21,,-30370.0
2020-05-22,,-30180.0
2020-05-26,,-27250.0
2020-05-27,,-26670.0
2020-05-28,,-31450.0
2020-05-29,,-30900.0
2020-06-01,,-29430.0
2020-06-02,,-29450.0
2020-06-03,,-26020.0
2020-06-04,,-24510.0
2020-06-05,,-23380.0
2020-06-08,,-20920.0
2020-06-09,,-24310.0
2020-06-10,,-26020.0
2020-06-11,,-35560.0
2020-06-12,,-32710.0
2020-06-15,,-31120.0
2020-06-16,,-29760.0
2020-06-17,,-30550.0
2020-06-18,,-29830.0
2020-06-19,,-33850.0
2020-06-22,,-32280.0
2020-06-23,,-31610.0
2020-06-24,,-36130.0
2020-06-25,,-36840.0
2020-06-26,,-39100.0
2020-06-29,,-36680.0
2020-06-30,,-36690.0
2020-07-01,,-35190.0
2020-07-02,,-36020.0
2020-07-06,,-33770.0
2020-07-07,,-34570.0
2020-07-08,,-31540.0
2020-07-09,,-31390.0
2020-07-10,,-28860.0
2020-07-13,,-31980.0
2020-07-14,,-29540.0
2020-07-15,,-27300.0
2020-07-16,,-28770.0
2020-07-17,,-29550.0
2020-07-20,,-30410.0
2020-07-21,,-29580.0
2020-07-22,,-29170.0
2020-07-23,,-30080.0
2020-07-24,,-30590.0
2020-07-27,,-31890.0
2020-07-28,,-32020.0
2020-07-29,,-32590.0
2020-07-30,,-32540.0
2020-07-31,,-31260.0
2020-08-03,,-31850.0
2020-08-04,,-30910.0
2020-08-05,,-20590.0
2020-08-06,,-17380.0
2020-08-07,,-18270.0
2020-08-10,,-19410.0
2020-08-11,,-17710.0
2020-08-12,,-16410.0
2020-08-13,,-17240.0
2020-08-14,,-17670.0
2020-08-17,,-18830.0
2020-08-18,,-19280.0
2020-08-19,,-20430.0
2020-08-20,,-20080.0
2020-08-21,,-20760.0
2020-08-24,,-17510.0
2020-08-25,,-18410.0
2020-08-26,,-16020.0
2020-08-27,,-14470.0
2020-08-28,,-12660.0
2020-08-31,,-16330.0
2020-09-01,,-14650.0
2020-09-02,,-12810.0
2020-09-03,,-14960.0
2020-09-04,,-16210.0
2020-09-08,,-14000.0
2020-09-09,,-14840.0
2020-09-10,,-14980.0
2020-09-11,,-16450.0
2020-09-14,,-16950.0
2020-09-15,,-16960.0
2020-09-16,,-16110.0
2020-09-17,,-17980.0
2020-09-18,,-19570.0
2020-09-21,,-22790.0
2020-09-22,,-20990.0
2020-09-23,,-24920.0
2020-09-24,,-25710.0
2020-09-25,,-24200.0
2020-09-28,,-22210.0
2020-09-29,,-22800.0
2020-09-30,,-24120.0
2020-10-01,,-24890.0
2020-10-02,,-25650.0
2020-10-05,,-24830.0
2020-10-06,,-27270.0
2020-10-07,,-25290.0
2020-10-08,,-25110.0
2020-10-09,,-23220.0
2020-10-12,,-23230.0
2020-10-13,,-19240.0
2020-10-14,,-21610.0
2020-10-15,,-20840.0
2020-10-16,,-21390.0
2020-10-19,,-23970.0
2020-10-20,,-23250.0
2020-10-21,,-21570.0
2020-10-22,,-20640.0
2020-10-23,,-19850.0
2020-10-26,,-24140.0
2020-10-27,,-24890.0
2020-10-28,,-29730.0
2020-10-29,,-26660.0
2020-10-30,,-26950.0
2020-11-02,,-28070.0
2020-11-03,,-24180.0
2020-11-04,,-23130.0
2020-11-05,,-21240.0
2020-11-06,,-20740.0
2020-11-09,,-5610.0
2020-11-10,,-6090.0
2020-11-11,,-10380.0
2020-11-12,,-12680.0
2020-11-13,,-9840.0
2020-11-16,,-3530.0
2020-11-17,,-3700.0
2020-11-18,,-4300.0
2020-11-19,,-6480.0
2020-11-20,,-7130.0
2020-11-23,,-2220.0
2020-11-24,,3290.0
2020-11-25,,890.0
2020-11-27,,-1070.0
2020-11-30,,-190.0
2020-12-01,,1240.0
2020-12-02,,5410.0
2020-12-03,,5040.0
2020-12-04,,5940.0
2020-12-07,,5480.0
2020-12-08,,5520.0
2020-12-09,,6230.0
2020-12-10,,6490.0
2020-12-11,,27520.0
2020-12-14,,21100.0
2020-12-15,,25740.0
2020-12-16,,24920.0
2020-12-17,,25350.0
2020-12-18,,24690.0
2020-12-21,,22490.0
2020-12-22,,22250.0
2020-12-23,,25350.0
2020-12-24,,25530.0
2020-12-28,,30660.0
2020-12-29,,29100.0
2020-12-30,,32970.0
2020-12-31,,32980.0
2021-01-04,,29480.0
2021-01-05,,30240.0
2021-01-06,,30920.0
2021-01-07,,30380.0
2021-01-08,,30490.0
2021-01-11,,30890.0
2021-01-12,,27790.0
2021-01-13,,27920.0
2021-01-14,,25230.0
2021-01-15,,23240.0
2021-01-19,,24060.0
2021-01-20,,25440.0
2021-01-21,,23080.0
2021-01-22,,24580.0
2021-01-25,,23690.0
2021-01-26,,21360.0
2021-01-27,,14830.0
2021-01-28,,23680.0
2021-01-29,,19970.0
2021-02-01,,22770.0
2021-02-02,,28760.0
2021-02-03,,28230.0
2021-02-04,,32030.0
2021-02-05,,32960.0
2021-02-08,,41800.0
2021-02-09,,40010.0
2021-02-10,,41430.0
2021-02-11,,42710.0
2021-02-12,,39470.0
2021-02-16,,38150.0
2021-02-17,,38240.0
2021-02-18,,34800.0
2021-02-19,,35450.0
2021-02-22,,43560.0
2021-02-23,,48890.0
2021-02-24,,49310.0
2021-02-25,,42780.0
2021-02-26,,40840.0
2021-03-01,,46780.0
2021-03-02,,45740.0
2021-03-03,,44060.0
2021-03-04,,39830.0
2021-03-05,,41790.0
2021-03-08,,53710.0
2021-03-09,,46310.0
2021-03-10,,46860.0
2021-03-11,,48550.0
2021-03-12,,48960.0
2021-03-15,,48560.0
2021-03-16,,46040.0
2021-03-17,,47040.0
2021-03-18,,44080.0
2021-03-19,,42940.0
2021-03-22,,44660.0
2021-03-23,,40530.0
2021-03-24,,36520.0
2021-03-25,,38710.0
2021-03-26,,37720.0
2021-03-29,,36650.0
2021-03-30,,37330.0
2021-03-31,,36320.0
2021-04-01,,40770.0
2021-04-05,,40300.0
2021-04-06,,41530.0
2021-04-07,,39360.0
2021-04-08,,39120.0
2021-04-09,,39690.0
2021-04-12,,38290.0
2021-04-13,,37290.0
2021-04-14,,39260.0
2021-04-15,,37730.0
2021-04-16,,39060.0
2021-04-19,,39230.0
2021-04-20,,34590.0
2021-04-21,,34910.0
2021-04-22,,34560.0
2021-04-23,,34820.0
2021-04-26,,36070.0
2021-04-27,,36440.0
2021-04-28,,35190.0
2021-04-29,,37130.0
2021-04-30,,37820.0
2021-05-03,,37310.0
2021-05-04,,36050.0
2021-05-05,,33310.0
2021-05-06,,33590.0
2021-05-07,,36640.0
2021-05-10,,36100.0
